Wall time,Step,Value
1574440268.3961399,28007,2177.30126953125
1574440268.3970187,28017,2231.707275390625
1574440268.397433,28024,2107.548828125
1574440268.3983142,28039,2045.054931640625
1574440268.3985484,28043,2038.4417724609375
1574440293.4654872,29014,2236.17041015625
1574440293.465548,29015,1854.709716796875
1574440293.4665024,29031,2402.289794921875
1574440293.466561,29032,2167.19775390625
1574440293.467152,29041,2117.341552734375
1574440293.4675272,29047,2249.94140625
1574440293.4677968,29051,2211.646728515625
1574440318.8647966,30007,2361.8046875
1574440318.8653128,30014,2261.3154296875
1574440318.8653738,30015,2566.9892578125
1574440318.8661532,30028,2266.620849609375
1574440318.8667438,30037,2098.71923828125
1574440318.8670397,30042,2134.667724609375
1574440318.8673325,30047,1959.7274169921875
1574440318.8675084,30050,2430.592041015625
1574440343.3974526,31002,2110.43310546875
1574440343.397505,31005,2296.70703125
1574440343.3979623,31009,1798.85498046875
1574440343.39858,31017,2032.064208984375
1574440343.3991864,31025,2404.399658203125
1574440343.399731,31032,2248.4833984375
1574440343.400261,31039,1956.05615234375
1574440343.4009426,31048,2001.31298828125
1574440343.401252,31052,1510.613525390625
1574440368.191052,32000,1984.3251953125
1574440368.1910708,32001,1911.900390625
1574440368.1911063,32003,2157.223388671875
1574440368.1911578,32006,2083.159912109375
1574440368.1918435,32013,2083.869140625
1574440368.1923876,32022,2170.14794921875
1574440368.192993,32032,1890.373291015625
1574440368.193234,32036,1940.8759765625
1574440368.1933546,32038,1695.8729248046875
1574440368.1935356,32041,1990.087158203125
1574440368.1938372,32046,1670.116943359375
1574440368.194018,32049,1561.45947265625
1574440368.1940784,32050,2041.743896484375
1574440368.1941388,32051,1834.073486328125
1574440392.4874928,33017,1892.6280517578125
1574440392.4881032,33026,1935.7054443359375
1574440392.4884927,33032,1824.1689453125
1574440392.4889452,33039,1954.928466796875
1574440392.4890099,33040,2232.3720703125
1574440392.4895937,33049,1747.0244140625
1574440417.3330874,34003,1971.0714111328125
1574440417.3339686,34015,2079.416259765625
1574440417.3345196,34024,1912.001220703125
1574440417.3347576,34028,1947.4947509765625
1574440417.3353524,34038,2013.06103515625
1574440417.335605,34042,1892.033447265625
1574440417.335907,34047,2315.21240234375
1574440417.3361497,34051,2179.6865234375
1574440442.247957,35011,1809.244140625
1574440442.2482421,35014,1933.82470703125
1574440442.2487736,35020,1606.38232421875
1574440442.248864,35021,1615.54150390625
1574440442.2489533,35022,1740.9658203125
1574440466.619414,36003,1825.2178955078125
1574440466.6198997,36009,1980.0970458984375
1574440466.6209376,36026,2310.850341796875
1574440466.6210575,36028,1956.1715087890625
1574440466.621176,36030,1958.3125
1574440466.6215348,36036,2360.9814453125
1574440466.6217148,36039,1568.46142578125
1574440466.6218352,36041,1987.53466796875
1574440466.6220143,36044,2378.4384765625
1574440491.1998658,37006,1911.59912109375
1574440491.2008538,37020,2275.602783203125
1574440491.2010229,37022,1762.666259765625
1574440491.202137,37040,2017.9376220703125
1574440491.2023807,37044,1904.9879150390625
1574440491.2028685,37052,1218.2548828125
1574440515.5629485,38003,1628.06689453125
1574440515.563552,38013,2127.400634765625
1574440515.5637612,38016,1761.89599609375
1574440515.5639415,38019,2022.6715087890625
1574440515.5641208,38022,2094.195556640625
1574440515.5655472,38046,1912.9239501953125
1574440540.3453388,39005,1974.6988525390625
1574440540.345356,39006,1743.751708984375
1574440540.3456674,39009,1762.6092529296875
1574440540.3457334,39010,1954.325927734375
1574440540.3458612,39012,1655.1517333984375
1574440540.345985,39014,1686.0235595703125
1574440540.3462298,39018,1813.006591796875
1574440540.3464806,39022,1811.7078857421875
1574440540.3467834,39027,2038.298583984375
1574440540.346905,39029,2289.63623046875
1574440540.3478355,39044,1715.60205078125
1574440564.958818,40021,1884.6500244140625
1574440564.959032,40024,2072.892822265625
1574440564.959095,40025,1799.658203125
1574440564.9593372,40029,2026.3927001953125
1574440564.9594567,40031,2230.69189453125
1574440564.9597654,40036,1906.572021484375
1574440564.9603019,40045,1748.177001953125
1574440589.4998808,41000,1717.038818359375
1574440589.4999523,41004,1983.57666015625
1574440589.5006325,41014,1850.2059326171875
1574440589.5007606,41016,1725.3062744140625
1574440589.5008852,41018,1789.0238037109375
1574440589.5009472,41019,1807.8140869140625
1574440589.501192,41023,1844.310546875
1574440589.501375,41026,2448.96044921875
1574440589.5018604,41034,2245.72119140625
1574440589.5021007,41038,1748.0294189453125
1574440589.5029438,41052,1110.599609375
1574440614.487492,42005,1762.761962890625
1574440614.4880128,42010,1854.10400390625
1574440614.4880772,42011,1811.3756103515625
1574440614.4882016,42013,1449.82373046875
1574440614.4883828,42016,1927.489990234375
1574440614.4885046,42018,1819.181640625
1574440614.4886246,42020,2073.212158203125
1574440614.4886847,42021,1863.9495849609375
1574440614.4891117,42028,1827.866455078125
1574440614.4892964,42031,1992.3387451171875
1574440614.4896636,42036,2028.10107421875
1574440639.2551641,43002,1734.414794921875
1574440639.2558622,43012,1686.239990234375
1574440639.2562194,43018,1781.2689208984375
1574440639.2565722,43024,1869.157470703125
1574440639.2568061,43028,2151.703369140625
1574440639.256865,43029,1810.451904296875
1574440639.2575073,43040,1928.6961669921875
1574440639.2575662,43041,1761.2681884765625
1574440664.2731643,44003,1255.655029296875
1574440664.273773,44013,1601.5419921875
1574440664.274311,44022,1262.814208984375
1574440664.275314,44039,1218.5443115234375
1574440689.2957728,45004,1484.669677734375
1574440689.2957897,45005,1052.29638671875
1574440689.2958243,45007,1109.831787109375
1574440689.2966237,45017,992.37158203125
1574440689.2969193,45021,1051.341552734375
1574440689.2976615,45031,1344.1458740234375
1574440689.2982574,45039,1049.04833984375
1574440689.2983317,45040,984.934326171875
1574440689.2991426,45051,1077.704345703125
1574440713.628217,46006,1022.5681762695312
1574440713.6288497,46012,1041.8787841796875
1574440713.628913,46013,1032.71435546875
1574440713.6290398,46015,1283.466796875
1574440713.6291647,46017,1081.2481689453125
1574440713.629514,46022,1140.81982421875
1574440713.6310647,46047,1082.94775390625
1574440713.631126,46048,1292.36328125
1574440738.1266248,47005,1018.76123046875
1574440738.1266704,47007,924.2603759765625
1574440738.1275818,47012,1085.73095703125
1574440738.1287017,47026,968.070068359375
1574440738.12912,47032,894.0598754882812
1574440738.1294687,47037,1105.4342041015625
1574440738.129608,47039,1197.097412109375
1574440738.1297476,47041,1097.9189453125
1574440738.1298873,47043,1210.0230712890625
1574440762.9770052,48003,1160.0924072265625
1574440762.9770734,48007,1062.8192138671875
1574440762.977373,48009,1018.9747924804688
1574440762.9776073,48012,1062.631103515625
1574440762.978364,48022,1080.928955078125
1574440762.9791183,48032,864.7495727539062
1574440762.9792683,48034,1127.2261962890625
1574440762.9801912,48046,1412.7657470703125
1574440762.9802666,48047,991.8677978515625
1574440762.9803417,48048,1149.402099609375
1574440787.0325232,49003,1113.965087890625
1574440787.0329819,49009,1133.905517578125
1574440787.0340204,49026,1104.633544921875
1574440787.0343685,49032,1058.8592529296875
1574440787.034427,49033,1019.8863525390625
1574440787.034899,49041,1412.71630859375
1574440787.0352528,49047,1195.98974609375
1574440811.1891506,50000,873.5308227539062
1574440811.1892385,50005,823.084716796875
1574440811.1905937,50028,1104.6431884765625
1574440811.190713,50030,852.5530395507812
1574440811.1910112,50035,1036.759765625
1574440811.1913095,50040,1216.040771484375
1574440836.0397482,51000,1287.5611572265625
1574440836.0398743,51007,1091.408935546875
1574440836.041298,51022,1034.95556640625
1574440836.0422149,51034,920.4295654296875
1574440836.0424433,51037,1081.0404052734375
1574440836.0429037,51043,1056.03369140625
1574440836.0435152,51051,988.6256713867188
1574440836.0436163,51052,855.8497924804688
1574440860.5230637,52001,964.2090454101562
1574440860.5236514,52010,913.9352416992188
1574440860.5250497,52033,1046.7447509765625
