Wall time,Step,Value
1574442223.7961602,107,2.5000000292152436e-08
1574442248.28975,108,2.5000000292152436e-08
1574442273.3212764,109,2.5000000292152436e-08
1574442298.6426232,110,2.5000000292152436e-08
1574442323.3639789,111,2.4999999848063226e-09
1574442348.5369227,112,2.4999999848063226e-09
1574442374.5470006,113,2.4999999848063226e-09
1574442399.2285712,114,2.4999999848063226e-09
1574442424.1350293,115,2.4999999848063226e-09
1574442448.7167943,116,2.4999999848063226e-09
1574442473.5877945,117,2.4999999848063226e-09
1574442498.4681003,118,2.4999999848063226e-09
1574442523.448105,119,2.4999999848063226e-09
1574442548.5045004,120,2.4999999848063226e-09
1574442573.3173418,121,2.4999999848063226e-09
1574442598.6828551,122,2.4999999848063226e-09
1574442623.8417287,123,2.4999999848063226e-09
1574442648.583387,124,2.4999999848063226e-09
1574442673.3805723,125,2.4999999848063226e-09
1574442697.7381823,126,2.4999999848063226e-09
1574442722.1718955,127,2.4999999848063226e-09
1574442746.4121552,128,2.4999999848063226e-09
1574442770.5668967,129,2.4999999848063226e-09
1574442795.1233842,130,2.4999999848063226e-09
1574442820.1629448,131,2.4999999848063226e-09
1574442845.4025881,132,2.4999999848063226e-09
1574442870.2501974,133,2.4999999848063226e-09
